name,issn
Complexity,1099-0526
Comprehensive Reviews in Food Science and Food Safety,1541-4337
Computational Intelligence,1467-8640
Computer Aided Surgery,1097-0150
Computer Animation and Virtual Worlds,1546-427X
Computer Applications in Engineering Education,1099-0542
Computer Graphics Forum,1467-8659
Computer-Aided Civil and Infrastructure Engineering,1467-8667
Concepts in Magnetic Resonance Part A,1552-5023
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering,1552-504X
Concurrency and Computation: Practice and Experience,1532-0634
Conflict Resolution Quarterly,1541-1508
Congenital Anomalies,1741-4520
Congenital Heart Disease,1747-0803
Congestive Heart Failure,1751-7133
Conservation,1936-6779
Conservation Biology,1523-1739
Conservation Letters,1755-263X
Constellations,1467-8675
Consumer Psychology Review,2476-1281
Contact Dermatitis,1600-0536
Contemporary Accounting Research,1911-3846
Contemporary Economic Policy,1465-7287
Contemporary Hypnosis,1557-0711
Continuing Cardiology Education,2059-1594
Contrast Media & Molecular Imaging,1555-4317
Contributions to Plasma Physics,1521-3986
Conversations in Religion & Theology,1479-2214
Corporate Governance: An International Review,1467-8683
Corporate Philanthropy Report,1949-3207
Corporate Social Responsibility and Environmental Management,1535-3966
Counseling and Values,2161-007X
Counselling and Psychotherapy Research,1746-1405
Counselor Education and Supervision,1556-6978
Creativity and Innovation Management,1467-8691
Criminal Behaviour and Mental Health,1471-2857
Criminology,1745-9125
Criminology & Public Policy,1745-9133
Critical Quarterly,1467-8705
CrossCurrents,1939-3881
Crystal Research and Technology,1521-4079
Cultural Anthropology,1548-1360
"Culture, Agriculture, Food and Environment",2153-9561
Curator: The Museum Journal,2151-6952
Current Directions in Psychological Science,1467-8721
Curriculum Inquiry,1467-873X
Curtis's Botanical Magazine,1467-8748
Cytometry Part A,1552-4930
Cytometry Part B: Clinical Cytometry,1552-4957
Cytopathology,1365-2303
Cytoskeleton,1949-3592
DIBt Mitteilungen,1437-1030
Deafness & Education International,1557-069X
Dean and Provost,1943-7587
Decision Sciences,1540-5915
Decision Sciences Journal of Innovative Education,1540-4609
Dental Traumatology,1600-9657
Depression,1522-7162
Depression and Anxiety,1520-6394
Dermatologic Surgery,1524-4725
Dermatologic Therapy,1529-8019
Design Management Journal,1948-7177
Design Management Review,1948-7169
Developing World Bioethics,1471-8847
Development Policy Review,1467-7679
Development and Alumni Relations Report,1945-6255
Development and Change,1467-7660
"Development, Growth & Differentiation",1440-169X
Developmental Disabilities Research Reviews,1940-5529
Developmental Dynamics,1097-0177
Developmental Medicine & Child Neurology,1469-8749
Developmental Neurobiology,1932-846X
Developmental Psychobiology,1098-2302
Developmental Science,1467-7687
"Diabetes, Obesity and Metabolism",1463-1326
Diabetes/Metabolism Research and Reviews,1520-7560
Diabetic Medicine,1464-5491
Diagnostic Cytopathology,1097-0339
Dialectica,1746-8361
Dialog,1540-6385
Dialysis & Transplantation,1932-6920
Die Unterrichtspraxis/Teaching German,1756-1221
Differentiation,1432-0436
Digest of Middle East Studies,1949-3606
Digestive Endoscopy,1443-1661
Diplomatic History,1467-7709
Disability Compliance for Higher Education,1943-8001
Disasters,1467-7717
Diseases of the Esophagus,1442-2050
Diversity and Distributions,1472-4642
Drug Development Research,1098-2299
Drug Testing and Analysis,1942-7611
Drug and Alcohol Review,1465-3362
Dyslexia,1099-0909
EFSA Journal,1831-4732
EFSA Supporting Publications,2397-8325
ELECTROPHORESIS,1522-2683
EMBO Molecular Medicine,1757-4684
EMBO reports,1469-3178
EPPO Bulletin,1365-2338
ESC Heart Failure,2055-5822
ETRI Journal,2233-7326
ETS Research Report Series,2330-8516
Early Intervention in Psychiatry,1751-7893
Early Medieval Europe,1468-0254
Earth Surface Processes and Landforms,1096-9837
Earth and Space Science,2333-5084
Earth's Future,2328-4277
Earthquake Engineering & Structural Dynamics,1096-9845
Echocardiography,1540-8175
Ecography,1600-0587
Ecohydrology,1936-0592
Ecological Applications,1939-5582
Ecological Entomology,1365-2311
Ecological Management & Restoration,1442-8903
Ecological Monographs,1557-7015
Ecological Research,1440-1703
Ecology,1939-9170
Ecology Letters,1461-0248
Ecology and Evolution,2045-7758
Ecology of Freshwater Fish,1600-0633
Econometrica,1468-0262
Economic Affairs,1468-0270
Economic Anthropology,2330-4847
Economic Geography,1944-8287
Economic Inquiry,1465-7295
Economic Notes,1468-0300
Economic Outlook,1468-0319
Economic Papers: A journal of applied economics and policy,1759-3441
Economic Policy,1468-0327
Economic Record,1475-4932
Economica,1468-0335
Economics & Politics,1468-0343
Economics of Transition,1468-0351
Ecosphere,2150-8925
Ecosystem Health,1526-0992
Ecosystem Health and Sustainability,2332-8878
Educational Measurement: Issues and Practice,1745-3992
Educational Philosophy and Theory,1469-5812
Educational Theory,1741-5446
El Mensajero,1556-6617
Electrical Engineering in Japan,1520-6416
Electroanalysis,1521-4109
Electronic Journal of Theoretical Chemistry,1082-4928
Electronics and Communications in Japan,1942-9541
Electronics and Communications in Japan (Part I: Communications),1520-6424
Electronics and Communications in Japan (Part II: Electronics),1520-6432
Electronics and Communications in Japan (Part III: Fundamental Electronic Science),1520-6440
Emergency Medicine Australasia,1742-6723
Employment Relations Today,1520-6459
"Endocrinology, Diabetes & Metabolism",2398-9238
Endodontic Topics,1601-1546
Energy & Environmental Materials,2575-0356
Energy Science & Engineering,2050-0505
Energy Technology,2194-4296
Engineering Construction and Architectural Management,1365-232X
Engineering in Life Sciences,1618-2863
English Literary Renaissance,1475-6757
English in Education,1754-8845
Enrollment Management Report,1945-6263
Entomologia Experimentalis et Applicata,1570-7458
Entomological Research,1748-5967
Entomological Science,1479-8298
Entrepreneurship Theory and Practice,1540-6520
Environmental Law & Management,1099-0941
Environmental Microbiology,1462-2920
Environmental Microbiology Reports,1758-2229
Environmental Policy and Governance,1756-9338
Environmental Progress & Sustainable Energy,1944-7450
Environmental Quality Management,1520-6483
Environmental Toxicology,1522-7278
Environmental Toxicology and Chemistry,1552-8618
Environmental and Molecular Mutagenesis,1098-2280
Environmetrics,1099-095X
"Eos, Transactions American Geophysical Union",2324-9250
Epilepsia,1528-1167
Epilepsia Open,2470-9239
Epilepsy Currents,1535-7511
Epileptic Disorders,1950-6945
Equine Veterinary Education,2042-3292
Equine Veterinary Journal,2042-3306
Ethics & International Affairs,1747-7093
Ethnographic Praxis in Industry Conference Proceedings,1559-8918
Ethology,1439-0310
Ethos,1548-1352
EuroChoices,1746-692X
European Diabetes Nursing,1551-7861
European Eating Disorders Review,1099-0968
European Financial Management,1468-036X
European Journal of Anaesthesiology,1365-2346
European Journal of Cancer Care,1365-2354
European Journal of Clinical Investigation,1365-2362
European Journal of Dental Education,1600-0579
European Journal of Education,1465-3435
European Journal of Haematology,1600-0609
European Journal of Heart Failure,1879-0844
European Journal of Immunology,1521-4141
European Journal of Inorganic Chemistry,1099-0682
European Journal of Lipid Science and Technology,1438-9312
European Journal of Neurology,1468-1331
European Journal of Neuroscience,1460-9568
European Journal of Oral Sciences,1600-0722
European Journal of Organic Chemistry,1099-0690
European Journal of Pain,1532-2149
European Journal of Pain Supplements,1878-0075
European Journal of Personality,1099-0984
European Journal of Philosophy,1468-0378
European Journal of Political Research,1475-6765
European Journal of Political Research Political Data Yearbook,2047-8852
European Journal of Social Psychology,1099-0992
European Journal of Soil Science,1365-2389
European Journal of Surgery,1741-9271
European Law Journal,1468-0386
European Management Review,1740-4762
European Policy Analysis,2380-6567
European Respiratory Journal,1399-3003
European Surgery,1682-4016
Evidence-Based Child Health: A Cochrane Review Journal,1557-6272
Evidence-based Preclinical Medicine,2054-703X
Evolution,1558-5646
Evolution & Development,1525-142X
Evolution Letters,2056-3744
"Evolutionary Anthropology: Issues, News, and Reviews",1520-6505
Evolutionary Applications,1752-4571
Experimental Dermatology,1600-0625
Experimental Physiology,1469-445X
Experimental Techniques,1747-1567
Expert Systems,1468-0394
FEBS Letters,1873-3468
FEBS Open Bio,2211-5463
FEMS Microbiology Ecology,1574-6941
FEMS Microbiology Letters,1574-6968
FEMS Microbiology Reviews,1574-6976
FEMS Yeast Research,1567-1364
Family Business Review,1741-6248
Family Court Review,1744-1617
Family Process,1545-5300
Family Relations,1741-3729
Family and Consumer Sciences Research Journal,1552-3934
Fatigue & Fracture of Engineering Materials & Structures,1460-2695
Feddes Repertorium,1522-239X
Federal Facilities Environmental Journal,1520-6513
Federal Grants & Contracts,1949-3185
Field Analytical Chemistry & Technology,1520-6521
Financial Accountability & Management,1468-0408
Financial Management,1755-053X
"Financial Markets, Institutions & Instruments",1468-0416
Financial Planning Review,2573-8615
Financial Review,1540-6288
Fire and Materials,1099-1018
First Break,1365-2397
Fiscal Studies,1475-5890
Fish and Fisheries,1467-2979
Fisheries,1548-8446
Fisheries Management and Ecology,1365-2400
Fisheries Oceanography,1365-2419
Fisheries Science,1444-2906
Flavour and Fragrance Journal,1099-1026
Focus on Alternative and Complementary Therapies,2042-7166
Focus on Geography,1949-8535
Food Science & Nutrition,2048-7177
Food Service Technology,1471-5740
Food and Energy Security,2048-3694
Foot and Ankle Surgery,1460-9584
Foreign Language Annals,1944-9720
Foreign Policy Analysis,1743-8594
Forest Pathology,1439-0329
Forstwissenschaftliches Centralblatt,1439-0337
Fortschritte der Physik,1521-3978
Fossil Record,1860-1014
Freshwater Biology,1365-2427
Frontiers in Ecology and the Environment,1540-9309
Fuel Cells,1615-6854
Functional Ecology,1365-2435
Fundamental & Clinical Pharmacology,1472-8206
Future Prescriber,1931-2261
Futures & Foresight Science,2573-5152
GAMM-Mitteilungen,1522-2608
GCB Bioenergy,1757-1707
Gender & History,1468-0424
"Gender, Work & Organization",1468-0432
Gene Function & Disease,1438-826X
GeneScreen,1466-9218
General Anthropology,1939-3466
Genes and Function,1365-4624
Genes to Cells,1365-2443
"Genes, Brain and Behavior",1601-183X
"Genes, Chromosomes and Cancer",1098-2264
Genetic Epidemiology,1098-2272
Geo: Geography and Environment,2054-4049
GeoHealth,2471-1403
Geoarchaeology,1520-6548
Geobiology,1472-4669
"Geochemistry, Geophysics, Geosystems",1525-2027
Geofluids,1468-8123
"Geografiska Annaler: Series A, Physical Geography",1468-0459
"Geografiska Annaler: Series B, Human Geography",1468-0467
Geographical Analysis,1538-4632
Geographical Research,1745-5871
Geographical Review,1931-0846
Geography Compass,1749-8198
Geological Journal,1099-1034
Geology Today,1365-2451
Geomechanics and Tunnelling,1865-7389
Geophysical Journal International,1365-246X
Geophysical Prospecting,1365-2478
Geophysical Research Letters,1944-8007
Geoscience Data Journal,2049-6060
Geostandards and Geoanalytical Research,1751-908X
Geriatrics & Gerontology International,1447-0594
German Economic Review,1468-0475
German Life and Letters,1468-0483
German Research,1522-2322
Gerodontology,1741-2358
Gesunde Pflanzen,1439-0345
Glia,1098-1136
Global Biogeochemical Cycles,1944-9224
Global Business and Organizational Excellence,1932-2062
Global Challenges,2056-6646
Global Change Biology,1365-2486
Global Ecology and Biogeography,1466-8238
Global Networks,1471-0374
Global Policy,1758-5899
Global Strategy Journal,2042-5805
Governance,1468-0491
Government and Opposition,1477-7053
Grass and Forage Science,1365-2494
Grassland Science,1744-697X
Greenhouse Gases: Science and Technology,2152-3878
Groundwater,1745-6584
Groundwater Monitoring & Remediation,1745-6592
Growth and Change,1468-2257
Gynaecological Endoscopy,1365-2508
HIV Medicine,1468-1293
HLA,2059-2310
HPB,1477-2574
Haemophilia,1365-2516
Hastings Center Report,1552-146X
Head & Neck,1097-0347
Headache Currents,1743-5013
Headache: The Journal of Head and Face Pain,1526-4610
Health & Social Care in the Community,1365-2524
Health Economics,1099-1050
Health Expectations,1369-7625
Health Information & Libraries Journal,1471-1842
Health Promotion Journal of Australia,2201-1617
Health Science Reports,2398-8835
Health Services Research,1475-6773
Heart Lung & Circulation,1444-2892
Heat Transfer—Asian Research,1523-1496
Helicobacter,1523-5378
Helvetica Chimica Acta,1522-2675
Hematological Oncology,1099-1069
Hemodialysis International,1542-4758
Hepatology,1527-3350
Hepatology Communications,2471-254X
Hepatology Research,1872-034X
Hereditas,1601-5223
Heredity,1365-2540
Heteroatom Chemistry,1098-1071
High Frequency,2470-6981
Higher Education Abstracts,2150-1092
Higher Education Quarterly,1468-2273
Hippocampus,1098-1063
Histopathology,1365-2559
Historian,1540-6563
Historical Research,1468-2281
History,1468-229X
History Compass,1478-0542
History and Theory,1468-2303
History of Education Quarterly,1748-5959
Human Brain Mapping,1097-0193
Human Cell,1749-0774
Human Communication Research,1468-2958
Human Factors and Ergonomics in Manufacturing & Service Industries,1520-6564
Human Mutation,1098-1004
Human Psychopharmacology: Clinical and Experimental,1099-1077
Human Resource Development Quarterly,1532-1096
Human Resource Management,1099-050X
