Full Title,ISSN,Product ID,Change History
Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale,1879-7261,15230,Formerly known as Annales d'Otolaryngologie et de Chirurgie Cervico-faciale
"Annales de l'Institut Henri Poincaré C, Analyse non linéaire",0294-1449,09006,
"Annales Médico-psychologiques, revue psychiatrique",0003-4487,09107,
Annales de Paléontologie,0753-3969,09008,
Annales de Pathologie,0242-6498,15130,
Annales Pharmaceutiques Françaises,0003-4509,15260,
Annals of Agrarian Science,1512-1887,18295,
Annals of Agricultural Sciences,0570-1783,08778,
"Annals of Allergy, Asthma & Immunology",1081-1206,14037,
Annals of Anatomy - Anatomischer Anzeiger,0940-9602,10030,
Annals of Diagnostic Pathology,1092-9134,13057,
Annals of Emergency Medicine,0196-0644,13239,Formerly known as Journal of the American College of Emergency Physicians
Annals of Epidemiology,1047-2797,07601,
Annals of Medicine and Surgery,2049-0801,17038,
Annals of Nuclear Energy,0306-4549,00217,Formerly known as Annals of Nuclear Science and Engineering
Annals of Physical and Rehabilitation Medicine,1877-0657,09009,Formerly known as Annales de Réadaptation et de Médicine Physique
Annals of Physics,0003-4916,12006,
Annals of Pure and Applied Logic,0168-0072,05253,Formerly known as Annals of Mathematical Logic
The Annals of Thoracic Surgery,0003-4975,07610,
Annals of Tourism Research,0160-7383,00689,
Annals of Vascular Surgery,0890-5096,13421,
Annual Reviews in Control,1367-5788,00429,Formerly known as Annual Review in Automatic Programming
Ansiedad y Estrés,1134-7937,16432,
Anthropocene,2213-3054,10148,
L'Anthropologie,0003-5521,09087,
Antiviral Research,0166-3542,05001,
Anuario de Psicología,0066-5126,16433,
Appetite,0195-6663,12633,
Applied Acoustics,0003-682X,02003,
Applied Animal Behaviour Science,0168-1591,05090,Formerly known as Applied Animal Ethology
Applied Catalysis A: General,0926-860X,05139,Formerly part of Applied Catalysis
Applied Catalysis B: Environmental,0926-3373,05140,Formerly part of Applied Catalysis
Applied Clay Science,0169-1317,05321,
Applied and Computational Harmonic Analysis,1063-5203,12003,
Applied Computing and Informatics,2210-8327,08742,
Applied Energy,0306-2619,02004,
Applied Ergonomics,0003-6870,03001,
Applied Geochemistry,0883-2927,00768,
Applied Geography,0143-6228,03002,
Applied Materials Today,2352-9407,18144,
Applied Mathematical Modelling,0307-904X,07604,
Applied Mathematics and Computation,0096-3003,07612,
Applied Mathematics Letters,0893-9659,00843,
Applied Numerical Mathematics,0168-9274,05254,
Applied Nursing Research,0897-1897,13158,
Applied Ocean Research,0141-1187,02005,
Applied Radiation and Isotopes,0969-8043,00228,Formerly known as International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes
Applied Soft Computing,1568-4946,05434,
Applied Soil Ecology,0929-1393,05091,
Applied Surface Science,0169-4332,05191,Formerly known as Applications of Surface Science
Applied Thermal Engineering,1359-4311,00630,Formerly known as Heat Recovery Systems and CHP
Apunts. Medicina de l’Esport,1886-6581,15764,
Aquacultural Engineering,0144-8609,02006,
Aquaculture,0044-8486,05092,Incorporating Annual Review of Fish Diseases
Aquaculture and Fisheries,2468-550X,18365,
Aquaculture Reports,2352-5134,18081,
Aquatic Botany,0304-3770,05093,
Aquatic Toxicology,0166-445X,05094,
Arab Economic and Business Journal,2214-4625,17023,
Arab Journal of Gastroenterology,1687-1979,05622,
Arab Journal of Mathematical Sciences,1319-5166,08748,
Arab Journal of Urology,2090-598X,08763,
Arabian Journal of Chemistry,1878-5352,08695,
Archaeological Research in Asia,2352-2267,18065,
Archives of Biochemistry and Biophysics,0003-9861,12007,
Archives of Cardiovascular Diseases,1875-2136,15568,
Archives of Cardiovascular Diseases Supplements,1878-6480,15863,
Archives of Civil and Mechanical Engineering,1644-9665,11005,
Archives of Gerontology and Geriatrics,0167-4943,08003,
Archives des Maladies du Cœur et des Vaisseaux - Pratique,1261-694X,15852,
Archives des Maladies Professionnelles et de l’Environnement,1775-8785,15360,
Archives of Medical Research,0188-4409,07608,
Archives of Oral Biology,0003-9969,00203,
Archives de Pédiatrie,0929-693X,09014,
Archives of Physical Medicine and Rehabilitation,0003-9993,13310,
Archives of Psychiatric Nursing,0883-9417,13191,
Archivos de Bronconeumología,0300-2896,15701,
Archivos de Bronconeumología (English Edition),1579-2129,15700,
Archivos de la Sociedad Española de Oftalmología,0365-6691,15765,
Archivos de la Sociedad Española de Oftalmología (English Edition),2173-5794,15797,
Artery Research,1872-9312,06071,
Arthroplasty Today,2352-3441,18761,
Arthropod Structure & Development,1467-8039,00356,Formerly known as International Journal of Insect Morphology and Embryology
Arthroscopy: the Journal of Arthroscopic & Related Surgery,0749-8063,13049,
Arthroscopy Techniques,2212-6287,14121,
Artificial Intelligence,0004-3702,05255,
Artificial Intelligence in Medicine,0933-3657,05095,
The Arts in Psychotherapy,0197-4556,00833,Formerly known as Art Psychotherapy
"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",2214-6873,17054,
Asia Pacific Management Review,1029-3132,18163,
Asian Journal of Pharmaceutical Sciences,1818-0876,17033,
Asian Journal of Psychiatry,1876-2018,06077,
The Asian Journal of Shipping and Logistics,2092-5212,10107,
Asian Journal of Surgery,1015-9584,08586,
Asian Journal of Urology,2214-3882,18154,
Asian Nursing Research,1976-1317,08651,
Assessing Writing,1075-2935,07449,
Astronomy and Computing,2213-1337,18011,
Astroparticle Physics,0927-6505,05192,
Atención Primaria,0212-6567,15721,
Atherosclerosis,0021-9150,08004,Formerly known as Journal of Atherosclerosis Research
Atherosclerosis Supplements,1567-5688,08140,
Atlas of the Oral and Maxillofacial Surgery Clinics,1061-3315,13032,
Atmospheric Environment,1352-2310,00246,Incorporating Atmospheric Environment. Part A. General Topics and Atmospheric Environment. Part B. Urban Atmosphere
Atmospheric Pollution Research,1309-1042,18277,
Atmospheric Research,0169-8095,05322,
Atomic Data and Nuclear Data Tables,0092-640X,12004,
Auris Nasus Larynx,0385-8146,08060,
Australasian Emergency Care,2588-994X,04082,Formerly known as Australasian Emergency Nursing Journal
Australasian Marketing Journal (AMJ),1441-3582,04120,Formerly known as Asia-Australia Marketing Journal
Australian Critical Care,1036-7314,04101,Formerly known as Confederation of Australian Critical Care Nurses Journal
Autoimmunity Reviews,1568-9972,05467,
Automatica,0005-1098,00270,
Automation in Construction,0926-5805,05256,
Autonomic Neuroscience,1566-0702,05062,Formerly known as Journal of the Autonomic Nervous System
Basal Ganglia,2210-5336,10068,
Basic and Applied Ecology,1439-1791,10017,
Behavior Therapy,0005-7894,04241,
Behaviour Research and Therapy,0005-7967,00265,
Behavioural Brain Research,0166-4328,05014,
Behavioural Processes,0376-6357,05015,
Beni-Suef University Journal of Basic and Applied Sciences,2314-8535,18045,
Best Practice & Research Clinical Anaesthesiology,1521-6896,12666,Formerly known as Baillière's Clinical Anaesthesiology
Best Practice & Research Clinical Endocrinology & Metabolism,1521-690X,12667,Formerly known as Baillière's Clinical Endocrinology and Metabolism
Best Practice & Research Clinical Gastroenterology,1521-6918,12668,Formerly known as Baillière's Clinical Gastroenterology
Best Practice & Research Clinical Haematology,1521-6926,12669,Formerly known as Baillière's Clinical Haematology
Best Practice & Research Clinical Obstetrics & Gynaecology,1521-6934,12670,Formerly known as Baillière's Clinical Obstetrics and Gynaecology
Best Practice & Research Clinical Rheumatology,1521-6942,12671,Formerly known as Baillière's Clinical Rheumatology
Big Data Research,2214-5796,07502,
Bioactive Carbohydrates and Dietary Fibre,2212-6198,08810,
Bioactive Materials,2452-199X,18278,
Biocatalysis and Agricultural Biotechnology,1878-8181,12982,
Biochemical and Biophysical Research Communications,0006-291X,12009,
Biochemical Engineering Journal,1369-703X,06049,Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal
Biochemical Pharmacology,0006-2952,07505,
Biochemical Systematics and Ecology,0305-1978,00364,
Biochemistry and Biophysics Reports,2405-5808,18156,
Biochimica et Biophysica Acta (BBA) - Bioenergetics,0005-2728,05002,Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis; Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Bioenergetics
Biochimica et Biophysica Acta (BBA) - Biomembranes,0005-2736,05003,Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,1874-9399,05005,Formerly known as Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression
Biochimica et Biophysica Acta (BBA) - General Subjects,0304-4165,05006,Formerly known as Biochimica et Biophysica Acta
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,0925-4439,05008,
Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,1388-1981,05007,Formerly known as Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism
Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,0167-4889,05009,
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,1570-9639,05010,Formerly known as Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology
Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,0304-419X,05012,
Biochimie,0300-9084,09015,
Biochimie Open,2214-0085,18107,
Biocybernetics and Biomedical Engineering,0208-5216,11011,
Bioelectrochemistry,1567-5394,06000,Formerly known as Bioelectrochemistry and Bioenergetics
Bioethics Update,2395-938X,14422,
Biological Conservation,0006-3207,02008,
Biological Control,1049-9644,12012,
Biological Psychiatry,0006-3223,07615,
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2451-9022,18845,
Biological Psychology,0301-0511,05016,
Biologically Inspired Cognitive Architectures,2212-683X,10106,
Biologicals,1045-1056,12680,Formerly known as Journal of Biological Standardization
Biology of Blood and Marrow Transplantation,1083-8791,13342,
Biomass and Bioenergy,0961-9534,00986,
Biomaterials,0142-9612,03004,Incorporating Clinical Materials
Biomedical and Environmental Sciences,0895-3988,06074,
Biomedical Journal,2319-4170,18329,
Biomedical Signal Processing and Control,1746-8094,03099,
Biomedicine & Pharmacotherapy,0753-3322,09018,
Biometric Technology Today,0969-4765,02265,
Biomolecular Detection and Quantification,2214-7535,10515,
Bioorganic Chemistry,0045-2068,12014,
Bioorganic & Medicinal Chemistry,0968-0896,00129,
Bioorganic & Medicinal Chemistry Letters,0960-894X,00972,
Biophysical Chemistry,0301-4622,05142,
Biophysical Journal,0006-3495,13437,
Bioprinting,2405-8866,18290,
Bioresource Technology,0960-8524,02009,Formerly known as Biological Wastes; Incorporating Energy in Agriculture and Biomass
Bioresource Technology Reports,2589-014X,18417,
Biosensors and Bioelectronics,0956-5663,02062,Formerly known as Biosensors
Biosystems,0303-2647,08005,
Biosystems Engineering,1537-5110,12610,Formerly known as Journal of Agricultural Engineering Research
Biotechnology Advances,0734-9750,07533,
Biotechnology Reports,2215-017X,17066,
Biotechnology Research and Innovation,2452-0721,11502,
Biotribology,2352-5738,18087,
BJA Education,2058-5349,18408,"Formerly known as Continuing Education in Anaesthesia, Critical Care & Pain"
"Blood Cells, Molecules, and Diseases",1079-9796,12011,
Blood Reviews,0268-960X,12724,
Body Image,1740-1445,04057,
Boletín de la Sociedad Española de Cerámica y Vidrio,0366-3175,16885,
Bone,8756-3282,07617,Formerly known as Metabolic Bone Disease and Related Research; Incorporating Bone and Mineral
Bone Reports,2352-1872,18748,
Borsa Istanbul Review,2214-8450,08835,
Brachytherapy,1538-4721,07501,
"Brain, Behavior, and Immunity",0889-1591,12008,
Brain and Cognition,0278-2626,12010,
Brain and Development,0387-7604,05017,
Brain and Language,0093-934X,12015,
Brain Research,0006-8993,05018,"Incorporating Molecular Brain Research, Developmental Brain Research, Cognitive Brain Research, Brain Research Protocols and Brain Research Reviews"
Brain Research Bulletin,0361-9230,07507,
Brain Stimulation,1935-861X,07809,
Brazilian Journal of Anesthesiology,0034-7094,15900,
Brazilian Journal of Anesthesiology (English Edition),0104-0014,15996,
The Brazilian Journal of Infectious Diseases,1413-8670,15901,
Brazilian Journal of Microbiology,1517-8382,11500,
Brazilian Journal of Otorhinolaryngology,1808-8694,15905,
Brazilian Journal of Physical Therapy,1413-3555,11506,
The Breast,0960-9776,12725,
Breast Diseases: A Year Book Quarterly,1043-321X,13074,
The British Accounting Review,0890-8389,12663,
British Journal of Anaesthesia,0007-0912,18407,
British Journal of Oral and Maxillofacial Surgery,0266-4356,12726,Formerly known as British Journal of Oral Surgery
BRQ Business Research Quarterly,2340-9436,15789,Formerly known as Cuadernos de Economía y Dirección de la Empresa
Building and Environment,0360-1323,00296,Formerly known as Building Science
Bulletin du Cancer,0007-4551,16357,
"Bulletin of Faculty of Pharmacy, Cairo University",1110-0931,08785,
Bulletin des Sciences Mathématiques,0007-4497,09019,
Burns,0305-4179,03006,
Burns Open,2468-9122,18384,
Business Horizons,0007-6813,07402,
Cahiers de Nutrition et de Diététique,0007-9960,15441,
Calphad,0364-5916,00254,
Canadian Association of Radiologists Journal,0846-5371,14036,
Canadian Journal of Cardiology,0828-282X,14046,
Canadian Journal of Diabetes,1499-2671,14119,
Canadian Journal of Ophthalmology,0008-4182,14106,
Cancer Cell,1535-6108,07595,
Cancer Epidemiology,1877-7821,03022,Formerly known as Cancer Detection and Prevention
Cancer Genetics,2210-7762,07618,Formerly known as Cancer Genetics and Cytogenetics
Cancer Letters,0304-3835,08006,
Cancer/Radiothérapie,1278-3218,09020,Formerly known as Bulletin du Cancer/Radiothérapie
Cancer Treatment and Research Communications,2468-2942,18010,Formerly known as Cancer Treatment Communications
Cancer Treatment Reviews,0305-7372,12645,Incorporating Evidence-based Oncology
Carbohydrate Polymers,0144-8617,02011,
Carbohydrate Research,0008-6215,02162,
Carbon,0008-6223,00258,
Cardiac Electrophysiology Clinics,1877-9182,12925,
Cardiocore,1889-898X,15763,
Cardiology Clinics,0733-8651,13203,
Cardiovascular Pathology,1054-8807,07620,
Cardiovascular Revascularization Medicine,1553-8389,07641,Formerly known as Cardiovascular Radiation Medicine
CASE,2468-6441,18895,
Case Reports in Women's Health,2214-9112,17050,
Case Studies in Construction Materials,2214-5095,17032,
Case Studies in Nondestructive Testing and Evaluation,2214-6571,17044,
Case Studies in Thermal Engineering,2214-157X,17011,
Case Studies on Transport Policy,2213-624X,10163,
Catalysis Communications,1566-7367,05570,
Catalysis Today,0920-5861,05143,
CATENA,0341-8162,05323,
Cell,0092-8674,07590,
Cell Calcium,0143-4160,12711,
Cell Chemical Biology ,2451-9456,02215,Formerly known as Chemistry & Biology
Cell Host & Microbe,1931-3128,07703,
Cell Metabolism,1550-4131,13368,
Cell Regeneration,2045-9769,18386,
Cell Reports,2211-1247,14108,
Cell Stem Cell,1934-5909,07704,
The Cell Surface,2468-2330,18393,
Cell Systems,2405-4712,18800,
Cellular Immunology,0008-8749,12020,
Cellular and Molecular Gastroenterology and Hepatology,2352-345X,18792,
Cellular Signalling,0898-6568,07520,
Cement and Concrete Composites,0958-9465,02012,Formerly known as International Journal of Cement Composites and Lightweight Concrete
Cement and Concrete Research,0008-8846,00352,Incorporating Advanced Cement Based Materials
Central Bank Review,1303-0701,18264,
Ceramics International,0272-8842,02013,Formerly known as Ceramurgia International
"Chaos, Solitons & Fractals",0960-0779,00967,
Chem,2451-9294,18875,
Chemical Data Collections,2405-8300,18226,
Chemical Engineering Journal,1385-8947,06002,Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal
Chemical Engineering and Processing - Process Intensification,0255-2701,06001,
Chemical Engineering Research and Design,0263-8762,08635,
Chemical Engineering Science,0009-2509,00215,
Chemical Geology,0009-2541,05324,Incorporating Chemical Geology: Isotope Geoscience section
Chemical Physics,0301-0104,05144,
Chemical Physics Letters,0009-2614,05145,
Chemico-Biological Interactions,0009-2797,08007,
Chemie der Erde,0009-2819,10001,
Chemistry and Physics of Lipids,0009-3084,08008,
Chemometrics and Intelligent Laboratory Systems,0169-7439,05146,Incorporating Laboratory Automation & Information Management
Chemosphere,0045-6535,00362,Incorporating Chemosphere - Global Change Science
Chest,0012-3692,18838,Formerly known as Diseases of the Chest
Child Abuse & Neglect,0145-2134,00586,
Child and Adolescent Psychiatric Clinics of North America,1056-4993,13292,
Children and Youth Services Review,0190-7409,00556,
China Economic Review,1043-951X,07403,
China Journal of Accounting Research,1755-3091,08769,
Chinese Astronomy and Astrophysics,0275-1062,00585,Formerly known as Chinese Astronomy
Chinese Chemical Letters,1001-8417,00997,
Chinese Herbal Medicines,1674-6384,10129,
Chinese Journal of Aeronautics,1000-9361,08595,
Chinese Journal of Analytical Chemistry,1872-2040,08572,
Chinese Journal of Catalysis,1872-2067,08575,
Chinese Journal of Chemical Engineering,1004-9541,08553,
Chinese Journal of Natural Medicines,1875-5364,08667,
Chinese Journal of Physics,0577-9073,18334,
Chinese Journal of Traumatology,1008-1275,08646,
Chinese Medical Sciences Journal,1001-9294,08670,
Chronic Diseases and Translational Medicine,2095-882X,18178,
Ciência & Tecnologia dos Materiais,0870-8312,16282,
CIRP Annals,0007-8506,04092,
CIRP Journal of Manufacturing Science and Technology,1755-5817,04113,
Cirugía Cardiovascular,1134-0096,15997,
Cirugía Española,0009-739X,15745,
Cirugía Española (English Edition),2173-5077,15792,
Cities,0264-2751,03008,
"City, Culture and Society",1877-9166,05635,
Climate Risk Management,2212-0963,10127,
Climate Services,2405-8807,18217,
Clinica Chimica Acta,0009-8981,05097,
Clínica e Investigación en Arteriosclerosis,0214-9168,15756,
Clínica e Investigación en arteriosclerosis (English edition),2529-9123,16439,
Clínica e Investigación en Ginecología y Obstetricia,0210-573X,15748,
Clinical Biochemistry,0009-9120,07519,
Clinical Biomechanics,0268-0033,03009,
Clinical Breast Cancer,1526-8209,14051,
Clinical Colorectal Cancer,1533-0028,14055,
Clinical eHealth,2588-9141,18414,
Clinical Epidemiology and Global Health,2213-3984,10150,
Clinical Gastroenterology and Hepatology,1542-3565,13344,
Clinical Genitourinary Cancer,1558-7673,14053,Formerly known as Clinical Prostate Cancer
Clinical Imaging,0899-7071,07696,Formerly known as Journal of Computed Tomography
Clinical Immunology,1521-6616,12021,Formerly known as Clinical Immunology and Immunopathology
Clinical Lung Cancer,1525-7304,14056,
Clinical Lymphoma Myeloma and Leukemia,2152-2650,14054,Formerly known as Clinical Lymphoma and Myeloma
Clinical Mass Spectrometry,2376-9998,18357,
Clinical Microbiology and Infection,1198-743X,18105,
Clinical Microbiology Newsletter,0196-4399,07624,
Clinical Neurology and Neurosurgery,0303-8467,05024,
Clinical Neurophysiology,1388-2457,08065,Formerly known as Electroencephalography and Clinical Neurophysiology; Incorporating Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control and Electroencephalography and Clinical Neurophysiology/Evoked Potentials Section
Clinical Neurophysiology Practice,2467-981X,18350,
Clinical Nutrition,0261-5614,12713,Incorporating Clinical Nutrition Supplements
Clinical Nutrition ESPEN,2405-4577,04097,Formerly known as e-SPEN Journal
Clinical Nutrition Experimental,2352-9393,18133,
Clinical Oncology,0936-6555,12914,
Clinical Pediatric Emergency Medicine,1522-8401,13248,
Clinical Plasma Medicine,2212-8166,10503,
Clinical Psychology Review,0272-7358,00652,
Clinical Radiology,0009-9260,12821,Formerly known as Journal of the Faculty of Radiologists
Clinical Simulation in Nursing,1876-1399,13438,
Clinical Therapeutics,0149-2918,07567,
Clinical and Translational Radiation Oncology,2405-6308,08190,
Clinics in Chest Medicine,0272-5231,13293,
Clinics in Dermatology,0738-081X,07623,
Clinics in Geriatric Medicine,0749-0690,13298,
Clinics in Laboratory Medicine,0272-2712,13230,
Clinics in Liver Disease,1089-3261,13231,
Clinics in Perinatology,0095-5108,13258,
Clinics in Plastic Surgery,0094-1298,13105,
Clinics in Podiatric Medicine and Surgery,0891-8422,13036,
Clinics and Research in Hepatology and Gastroenterology,2210-7401,15350,Formerly known as Gastroentérologie Clinique et Biologique
Clinics in Sports Medicine,0278-5919,13113,
Coastal Engineering,0378-3839,05325,
Cognition,0010-0277,05257,
Cognitive and Behavioral Practice,1077-7229,04242,
Cognitive Development,0885-2014,07450,
Cognitive Psychology,0010-0285,12022,
Cognitive Systems Research,1389-0417,09913,
Cold Regions Science and Technology,0165-232X,05326,
Collegian,1322-7696,04295,
Colloid and Interface Science Communications,2215-0382,17069,
Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,05149,Formerly part of Colloids and Surfaces
Colloids and Surfaces B: Biointerfaces,0927-7765,05150,Formerly part of Colloids and Surfaces
Combinatorial Chemistry  -  an Online Journal,1464-3383,04037,
Combustion and Flame,0010-2180,07630,
Communications in Nonlinear Science and Numerical Simulation,1007-5704,05471,
Communist and Post-Communist Studies,0967-067X,03010,Formerly known as Studies in Comparative Communism
Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,1095-6433,07515,Formerly known as Comparative Biochemistry and Physiology Part A: Physiology
Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,1096-4959,07516,Formerly known as Comparative Biochemistry and Physiology Part B: Comparative Biochemistry
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,1532-0456,07517,"Formerly known as Comparative Biochemistry and Physiology Part C: Pharmacology, Toxicology and Endocrinology"
Comparative Biochemistry and Physiology Part D: Genomics and Proteomics,1744-117X,07801,
"Comparative Immunology, Microbiology and Infectious Diseases",0147-9571,00496,
Complementary Therapies in Clinical Practice,1744-3881,12742,Formerly known as Complementary Therapies in Nursing and Midwifery
Complementary Therapies in Medicine,0965-2299,12741,
Composite Structures,0263-8223,02017,
Composites Communications,2452-2139,18282,
Composites Part A: Applied Science and Manufacturing,1359-835X,03011,Incorporating Composites and Composites Manufacturing
Composites Part B: Engineering,1359-8368,00984,Formerly known as Composites Engineering
