pmid,issn,name,year,doi,pmcid,title
9465122,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,1998,,PMC19218,Characterization of a calmodulin-binding transporter from the plasma membrane of barley aleurone.
15682463,1615-9853,Proteomics,2005,10.1002/pmic.200401129,,A proteomic approach for investigation of photosynthetic apparatus in plants.
16758444,1615-9853,Proteomics,2006,10.1002/pmic.200500924,,Mapping the proteome of thylakoid membranes by de novo sequencing of intermembrane peptide domains.
17081062,1535-3893,J. Proteome Res.,2006,10.1021/pr0602850,,"Enrichment and identification of integral membrane proteins from barley aleurone layers by reversed-phase chromatography, SDS-PAGE, and LC-MS/MS."
17675669,0021-9258,J. Biol. Chem.,2007,10.1074/jbc.M705132200,,Photosynthetic antenna size in higher plants is controlled by the plastoquinone redox state at the post-transcriptional rather than transcriptional level.
19137553,1615-9861,Proteomics,2009,10.1002/pmic.200800337,,Mass spectrometric characterization of membrane integral low molecular weight proteins from photosystem II in barley etioplasts.
19639596,1615-9861,Proteomics,2009,10.1002/pmic.200800745,,The plasma membrane proteome of germinating barley embryos.
21440687,1876-7737,J Proteomics,2011,10.1016/j.jprot.2011.03.020,,Proteomic comparison of etioplast and chloroplast protein complexes.
24344171,1532-2548,Plant Physiol.,2014,10.1104/pp.113.233163,PMC3912118,"Gibberellic acid-induced aleurone layers responding to heat shock or tunicamycin provide insight into the N-glycoproteome, protein secretion, and endoplasmic reticulum stress."
12481076,0032-0889,Plant Physiol.,2002,10.1104/pp.009803,PMC166704,Proteomics of light-harvesting proteins in different plant species. Analysis and comparison by liquid chromatography-electrospray ionization mass spectrometry. Photosystem I.
19391183,1615-9861,Proteomics,2009,10.1002/pmic.200800806,,Quantitative detection of changes in the leaf-mesophyll tonoplast proteome in dependency of a cadmium exposure of barley (Hordeum vulgare L.) plants.
10664124,0032-0935,Planta,2000,,,Characterization of two cDNA clones encoding isozymes of the F(1)F(0)-ATPase inhibitor protein of rice mitochondria.
10713441,0378-1119,Gene,2000,,,"Rice gibberellin-insensitive gene homolog, OsGAI, encodes a nuclear-localized protein capable of gene activation at transcriptional level."
10805458,0032-0935,Planta,2000,10.1007/s004250050688,,Identification of a signal peptide for oryzacystatin-I.
10831839,0378-1119,Gene,2000,,,Molecular and cellular characterizations of a cDNA clone encoding a novel isozyme of aldehyde dehydrogenase from rice.
10998053,0014-2956,Eur. J. Biochem.,2000,,,"Characterization of RCI-1, a chloroplastic rice lipoxygenase whose synthesis is induced by chemical plant resistance activators."
11166431,1873-2259,Plant Sci.,2001,,,Numerous and highly developed tubular projections from plastids observed in Tobacco epidermal cells.
11337074,1873-2259,Plant Sci.,2001,,,"Chloroplast fructose-1,6-bisphosphatase from Oryza differs in salt tolerance property from the Porteresia enzyme and is protected by osmolytes."
11826299,1040-4651,Plant Cell,2002,,PMC150551,The gibberellin signaling pathway is regulated by the appearance and disappearance of SLENDER RICE1 in nuclei.
11855722,0167-4412,Plant Mol. Biol.,2002,,,"The subcellular localization of an unusual rice calmodulin isoform, OsCaM61, depends on its prenylation status."
12000455,0960-7412,Plant J.,2002,,,OsPNH1 regulates leaf development and maintenance of the shoot apical meristem in rice.
12040100,0032-0781,Plant Cell Physiol.,2002,,,Isolation and characterization of a putative transducer of endoplasmic reticulum stress in Oryza sativa.
12369618,0167-4412,Plant Mol. Biol.,2002,,,"OsARF1, an auxin response factor from rice, is auxin-regulated and classifies as a primary auxin responsive gene."
12376644,0032-0889,Plant Physiol.,2002,10.1104/pp.007781,PMC166606,Inventory and functional characterization of the HAK potassium transporters of rice.
12468735,1040-4651,Plant Cell,2002,,PMC151210,"Abscisic acid-induced transcription is mediated by phosphorylation of an abscisic acid response element binding factor, TRAB1."
12569397,0032-0935,Planta,2003,10.1007/s00425-002-0910-6,,Regulation of biosynthesis and intracellular localization of rice and tobacco homologues of nucleosome assembly protein 1.
12591613,0006-3002,Biochim. Biophys. Acta,2003,,,Identification and characterization of two new members of the GRAS gene family in rice responsive to N-acetylchitooligosaccharide elicitor.
12753582,0960-7412,Plant J.,2003,,,Cell cycle function of a rice B2-type cyclin interacting with a B-type cyclin-dependent kinase.
12913143,0032-0889,Plant Physiol.,2003,,PMC181272,"Hyperphosphorylation of a mitochondrial protein, prohibitin, is induced by calyculin A in a rice lesion-mimic mutant cdr1."
12913152,0032-0889,Plant Physiol.,2003,,PMC181281,"BWMK1, a rice mitogen-activated protein kinase, locates in the nucleus and mediates pathogenesis-related gene expression by activation of a transcription factor."
14535884,0960-7412,Plant J.,2003,,,"Roles of OsCKI1, a rice casein kinase I, in root development and plant hormone sensitivity."
14630954,0032-0889,Plant Physiol.,2003,10.1104/pp.103.022202,PMC300751,Auxin responsiveness of a novel cytochrome p450 in rice coleoptiles.
14657402,0032-0889,Plant Physiol.,2003,10.1104/pp.103.025759,PMC300706,Functional analysis and intracellular localization of rice cryptochromes.
14701929,0032-0781,Plant Cell Physiol.,2003,,,"Molecular and biochemical analyses of OsRab7, a rice Rab7 homolog."
14756772,0960-7412,Plant J.,2004,,,"GID2, an F-box subunit of the SCF E3 complex, specifically interacts with phosphorylated SLR1 protein and regulates the gibberellin-dependent degradation of SLR1 in rice."
14988485,0032-0781,Plant Cell Physiol.,2004,,,"Function, intracellular localization and the importance in salt tolerance of a vacuolar Na(+)/H(+) antiporter from rice."
15047897,0032-0889,Plant Physiol.,2004,10.1104/pp.103.034967,PMC419826,A rice WRKY gene encodes a transcriptional repressor of the gibberellin signaling pathway in aleurone cells.
15215503,0032-0781,Plant Cell Physiol.,2004,,,A novel interaction between calreticulin and ubiquitin-like nuclear protein in rice.
15255870,0960-7412,Plant J.,2004,10.1111/j.1365-313X.2004.02146.x,,OsYSL2 is a rice metal-nicotianamine transporter that is regulated by iron and expressed in the phloem.
15509842,0032-0781,Plant Cell Physiol.,2004,10.1093/pcp/pch133,,Characterization of a rice nuclear-encoded plastid RNA polymerase gene OsRpoTp.
15604716,0167-4412,Plant Mol. Biol.,2004,10.1007/s11103-004-1967-3,,Different subcellular localization and trafficking properties of KNOX class 1 homeodomain proteins from rice.
15604733,0167-4412,Plant Mol. Biol.,2004,10.1007/s11103-004-2648-y,,Ectopic expression of OsYAB1 causes extra stamens and carpels in rice.
15659629,1040-4651,Plant Cell,2005,10.1105/tpc.104.028456,PMC548814,Functional isolation of novel nuclear proteins showing a variety of subnuclear localizations.
15737637,0006-291X,Biochem. Biophys. Res. Commun.,2005,10.1016/j.bbrc.2005.01.161,,The expression of the rice (Oryza sativa L.) homologue of Snm1 is induced by DNA damages.
15792960,0032-0781,Plant Cell Physiol.,2005,10.1093/pcp/pci090,,"RNAi-mediated silencing of OsGEN-L (OsGEN-like), a new member of the RAD2/XPG nuclease family, causes male sterility by defect of microspore development in rice."
15807780,0960-7412,Plant J.,2005,10.1111/j.1365-313X.2005.02367.x,,Roles of isoamylase and ADP-glucose pyrophosphorylase in starch granule synthesis in rice endosperm.
15821023,0032-0781,Plant Cell Physiol.,2005,10.1093/pcp/pci091,,Involvement of alpha-amylase I-1 in starch degradation in rice chloroplasts.
15915636,0894-0282,Mol. Plant Microbe Interact.,2005,10.1094/MPMI-18-0375,,"OsLSD1, a rice zinc finger protein, regulates programmed cell death and callus differentiation."
15939553,0378-1119,Gene,2005,10.1016/j.gene.2005.03.047,,"Characterization of the origin recognition complex (ORC) from a higher plant, rice (Oryza sativa L.)."
15980189,0032-0889,Plant Physiol.,2005,10.1104/pp.105.062703,PMC1176408,A gibberellin-regulated calcineurin B in rice localizes to the tonoplast and is implicated in vacuole function.
15980199,0032-0889,Plant Physiol.,2005,10.1104/pp.105.060509,PMC1176416,Interacting proteins and differences in nuclear transport reveal specific functions for the NAP1 family proteins in plants.
16021404,0167-4412,Plant Mol. Biol.,2005,10.1007/s11103-005-5702-5,,"OsPPR1, a pentatricopeptide repeat protein of rice is essential for the chloroplast biogenesis."
16115061,0960-7412,Plant J.,2005,10.1111/j.1365-313X.2005.02485.x,,"Rice NRR, a negative regulator of disease resistance, interacts with Arabidopsis NPR1 and rice NH1."
16117849,1001-0602,Cell Res.,2005,10.1038/sj.cr.7290329,,"OsWRKY03, a rice transcriptional activator that functions in defense signaling pathway upstream of OsNPR1."
16141453,1040-4651,Plant Cell,2005,10.1105/tpc.105.034090,PMC1242267,Rice Undeveloped Tapetum1 is a major regulator of early tapetum development.
16192280,0021-9258,J. Biol. Chem.,2005,10.1074/jbc.M504616200,,Isolation of a calmodulin-binding transcription factor from rice (Oryza sativa L.).
16193045,1476-4687,Nature,2005,10.1038/nature04028,,GIBBERELLIN INSENSITIVE DWARF1 encodes a soluble receptor for gibberellin.
16263903,0022-0957,J. Exp. Bot.,2005,10.1093/jxb/eri317,,"OsZIP4, a novel zinc-regulated zinc transporter in rice."
16275657,0032-0781,Plant Cell Physiol.,2006,10.1093/pcp/pci227,,"Expression of the vacuolar Ca2+/H+ exchanger, OsCAX1a, in rice: cell and age specificity of expression, and enhancement by Ca2+."
16313672,1471-2121,BMC Cell Biol.,2005,10.1186/1471-2121-6-40,PMC1325227,The peroxisomal multifunctional protein interacts with cortical microtubules in plant cells.
16397796,0032-0935,Planta,2006,10.1007/s00425-005-0214-8,,Rice ascorbate peroxidase gene family encodes functionally diverse isoforms localized in different subcellular compartments.
16412081,0960-7412,Plant J.,2006,10.1111/j.1365-313X.2005.02624.x,,Rice plants take up iron as an Fe3+-phytosiderophore and as Fe2+.
16489123,1040-4651,Plant Cell,2006,10.1105/tpc.105.038240,PMC1383642,Cytoplasmic male sterility of rice with boro II cytoplasm is caused by a cytotoxic peptide and is restored by two related PPR motif genes via distinct modes of mRNA silencing.
16501255,0032-0781,Plant Cell Physiol.,2006,10.1093/pcp/pcj025,,"Functional characterization of OsPPT1, which encodes p-hydroxybenzoate polyprenyltransferase involved in ubiquinone biosynthesis in Oryza sativa."
16531052,0981-9428,Plant Physiol. Biochem.,2006,10.1016/j.plaphy.2005.12.001,,Functional characterization of OsRacB GTPase--a potentially negative regulator of basal disease resistance in rice.
16531481,0032-0889,Plant Physiol.,2006,10.1104/pp.106.078592,PMC1459319,Rice HYDROPEROXIDE LYASES with unique expression patterns generate distinct aldehyde signatures in Arabidopsis.
16552590,0032-0935,Planta,2006,10.1007/s00425-006-0251-y,,"Structure, expression, and functional analysis of the hexokinase gene family in rice (Oryza sativa L.)."
16905871,1341-7568,Genes Genet. Syst.,2006,,,"Two OsGASR genes, rice GAST homologue genes that are abundant in proliferating tissues, show different expression patterns in developing panicles."
16919842,0176-1617,J. Plant Physiol.,2007,10.1016/j.jplph.2006.07.006,,"OsWRKY71, a rice transcription factor, is involved in rice defense response."
16971692,0737-4038,Mol. Biol. Evol.,2006,10.1093/molbev/msl112,,Evidence for transit peptide acquisition through duplication and subsequent frameshift mutation of a preexisting protein gene in rice.
16977424,0167-4412,Plant Mol. Biol.,2007,10.1007/s11103-006-9079-x,,A rice dehydration-inducible SNF1-related protein kinase 2 phosphorylates an abscisic acid responsive element-binding factor and associates with ABA signaling.
16990291,0032-0781,Plant Cell Physiol.,2006,10.1093/pcp/pcl013,,Rice Immature Pollen 1 (RIP1) is a regulator of late pollen development.
17028208,1040-4651,Plant Cell,2006,10.1105/tpc.105.039891,PMC1626603,Rice plastidial N-glycosylated nucleotide pyrophosphatase/phosphodiesterase is transported from the ER-golgi to the chloroplast through the secretory pathway.
17048141,1435-8603,Plant Biol (Stuttg),2007,10.1055/s-2006-924561,,"GER1, a GDSL motif-encoding gene from rice is a novel early light- and jasmonate-induced gene."
17086397,0032-0935,Planta,2007,10.1007/s00425-006-0430-x,,Genes for alkaline/neutral invertase in rice: alkaline/neutral invertases are located in plant mitochondria and also in plastids.
17144896,0960-7412,Plant J.,2007,10.1111/j.1365-313X.2006.02941.x,,The rice heterochronic gene SUPERNUMERARY BRACT regulates the transition from spikelet meristem to floral meristem.
17148693,0032-0781,Plant Cell Physiol.,2007,10.1093/pcp/pcl050,,"Two novel nuclear genes, OsSIG5 and OsSIG6, encoding potential plastid sigma factors of RNA polymerase in rice: tissue-specific and light-responsive gene expression."
17174956,0014-5793,FEBS Lett.,2007,10.1016/j.febslet.2006.11.073,,Interaction of rice dwarf virus outer capsid P8 protein with rice glycolate oxidase mediates relocalization of P8.
17205969,0032-0781,Plant Cell Physiol.,2007,10.1093/pcp/pcm003,,"Ethylene promotes submergence-induced expression of OsABA8ox1, a gene that encodes ABA 8'-hydroxylase in rice."
17209124,1040-4651,Plant Cell,2007,10.1105/tpc.106.045708,PMC1820953,"Rice SCAMP1 defines clathrin-coated, trans-golgi-located tubular-vesicular structures as an early endosome in tobacco BY-2 cells."
17309686,1467-7652,Plant Biotechnol. J.,2007,10.1111/j.1467-7652.2007.00243.x,,Functional analysis of rice NPR1-like genes reveals that OsNPR1/NH1 is the rice orthologue conferring disease resistance with enhanced herbivore susceptibility.
17383966,0021-9258,J. Biol. Chem.,2007,10.1074/jbc.M609866200,,Oxygen initiation of respiration and mitochondrial biogenesis in rice.
17404758,1617-4615,Mol. Genet. Genomics,2007,10.1007/s00438-007-0232-2,,The rice OsLOL2 gene encodes a zinc finger protein involved in rice growth and disease resistance.
17406793,0167-4412,Plant Mol. Biol.,2007,10.1007/s11103-007-9153-z,,Identification of the ADP-glucose pyrophosphorylase isoforms essential for starch synthesis in the leaf and seed endosperm of rice (Oryza sativa L.).
17458549,0721-7714,Plant Cell Rep.,2007,10.1007/s00299-006-0299-y,,Overexpression of SBPase enhances photosynthesis against high temperature stress in transgenic rice plants.
17532485,0006-3002,Biochim. Biophys. Acta,2007,10.1016/j.bbaexp.2007.04.006,,Involvement of the elicitor-induced gene OsWRKY53 in the expression of defense-related genes in rice.
17586462,0006-291X,Biochem. Biophys. Res. Commun.,2007,10.1016/j.bbrc.2007.06.052,,Alternative splicing of the OsBWMK1 gene generates three transcript variants showing differential subcellular localizations.
17587305,0960-7412,Plant J.,2007,10.1111/j.1365-313X.2007.03168.x,,Functional analysis of a NAC-type transcription factor OsNAC6 involved in abiotic and biotic stress-responsive gene expression in rice.
17594063,0167-4412,Plant Mol. Biol.,2007,10.1007/s11103-007-9196-1,,"Mutations in the rice liguleless gene result in a complete loss of the auricle, ligule, and laminar joint."
17617177,0960-7412,Plant J.,2007,10.1111/j.1365-313X.2007.03190.x,,"OsRAD21-3, an orthologue of yeast RAD21, is required for pollen development in Oryza sativa."
17676337,0949-944X,Dev. Genes Evol.,2007,10.1007/s00427-007-0173-0,,"A rice YABBY gene, OsYABBY4, preferentially expresses in developing vascular tissue."
17698277,0300-9084,Biochimie,2007,10.1016/j.biochi.2007.06.014,,Plant pre-tRNA splicing enzymes are targeted to multiple cellular compartments.
17710559,0962-8819,Transgenic Res.,2008,10.1007/s11248-007-9126-7,,"Visualisation of plastids in endosperm, pollen and roots of transgenic wheat expressing modified GFP fused to transit peptides from wheat SSU RubisCO, rice FtsZ and maize ferredoxin III proteins."
17727616,0960-7412,Plant J.,2007,10.1111/j.1365-313X.2007.03251.x,,"The rice nuclear gene, VIRESCENT 2, is essential for chloroplast development and encodes a novel type of guanylate kinase targeted to plastids and mitochondria."
17938177,0021-9258,J. Biol. Chem.,2007,10.1074/jbc.M703820200,,Calcium-activated (p)ppGpp synthetase in chloroplasts of land plants.
17938955,0032-0935,Planta,2008,10.1007/s00425-007-0635-7,,Identification of the OsOPR7 gene encoding 12-oxophytodienoate reductase involved in the biosynthesis of jasmonic acid in rice.
17960484,0167-4412,Plant Mol. Biol.,2007,10.1007/s11103-007-9244-x,,Overexpression of rice WRKY89 enhances ultraviolet B tolerance and disease resistance in rice plants.
18049796,0167-4412,Plant Mol. Biol.,2008,10.1007/s11103-007-9270-8,,Functional analysis of rice HOMEOBOX4 (Oshox4) gene reveals a negative function in gibberellin responses.
18205020,0167-4412,Plant Mol. Biol.,2008,10.1007/s11103-007-9284-2,,"Overexpression of OsiSAP8, a member of stress associated protein (SAP) gene family of rice confers tolerance to salt, drought and cold stress in transgenic tobacco and rice."
18219493,1617-4615,Mol. Genet. Genomics,2008,10.1007/s00438-008-0318-5,,"SUMO-conjugating enzyme (Sce) and FK506-binding protein (FKBP) encoding rice (Oryza sativa L.) genes: genome-wide analysis, expression studies and evidence for their involvement in abiotic stress response."
